id,AverageVelocity,AverageVelocityUpwind,Comfort,valid
1,3.1451,3.5353,35.8898,true
2,3.0954,3.4860,34.5450,true
3,3.3460,3.7395,27.6256,true
4,3.1931,3.5461,29.6274,true
5,3.3840,3.7938,26.9218,true
6,3.2896,3.6615,25.7924,true
7,3.1513,3.5367,36.2140,true
8,3.1037,3.4712,37.8297,true
9,3.2554,3.6229,29.9222,true
10,3.0657,3.4183,34.0478,true
11,3.2544,3.6488,26.9112,true
12,3.1694,3.5186,29.5688,true
13,2.9865,3.3280,37.2556,true
14,3.0924,3.4557,34.0188,true
15,3.2590,3.6439,25.5933,true
16,3.4113,3.8072,24.5599,true
17,3.0069,3.3390,37.5241,true
18,3.1110,3.4447,34.3362,true
19,3.1285,3.4749,34.0941,true
20,3.2419,3.6004,25.2032,true
21,3.0558,3.4041,37.5846,true
22,2.9548,3.2551,36.4425,true
